json_data,list-card-link href,list-card-addr,list-card-extra-info,list-card-price,list-card-details,list-card-label,list-card-details 2,list-card-label 2,list-card-details 3,list-card-label 3,list-card-statusText,list-card-variable-text,list-card-link src,j
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""38 Broome St #2aa, Brooklyn, NY 11222"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""650""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""38 Broome St #2AA"",""addressLocality"":""Brooklyn"",""addressRegion"":""NY"",""postalCode"":""11222""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.722097,""longitude"":-73.945564},""url"":""https://www.zillow.com/homedetails/38-Broome-St-2AA-Brooklyn-NY-11222/2072656488_zpid/""}",https://www.zillow.com/homedetails/38-Broome-St-2AA-Brooklyn-NY-11222/2072656488_zpid/,"38 Broome St #2AA, Brooklyn, NY 11222",LISTING BY: BOND NEW YORK (617-653-3439),"$2,900/mo",1,bd,1,ba,650,sqft, Apartment for rent,Open: Fri. 4-6pm,https://photos.zillowstatic.com/fp/1344ced783d9de15660c4bd29e31ae59-p_e.jpg,Save this home
,https://www.zillow.com/b/100-dupont-st-brooklyn-ny-5Xj98G/,"100 Dupont St, Brooklyn, NY",,"$3,800+",,4 bds,,,,,,Updated today,https://photos.zillowstatic.com/fp/6847d102a284c139b4fda5c8cd4351a8-p_e.jpg,
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""215 Franklin St Apt 2r, Brooklyn, NY 11222"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""750""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""215 Franklin St APT 2R"",""addressLocality"":""Brooklyn"",""addressRegion"":""NY"",""postalCode"":""11222""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.734365,""longitude"":-73.958596},""url"":""https://www.zillow.com/homedetails/215-Franklin-St-APT-2R-Brooklyn-NY-11222/2108708140_zpid/""}",https://www.zillow.com/homedetails/215-Franklin-St-APT-2R-Brooklyn-NY-11222/2108708140_zpid/,"215 Franklin St APT 2R, Brooklyn, NY 11222",LISTING BY: NOOKLYN.COM LLC (313-670-5319),"$2,300/mo",--,bds,1,ba,750,sqft,Apartment for rent,1 day on Zillow,https://photos.zillowstatic.com/fp/79392d4dc98f7c2773bfa9d4f127d18e-p_e.jpg,Save this home
,https://www.zillow.com/b/570-manhattan-ave-brooklyn-ny-5vwLw8/,"570 Manhattan Ave, Brooklyn, NY",,"$2,749 ","$2,750+",1 bd,,2 bds,,,Apartment for rent,Updated today,https://photos.zillowstatic.com/fp/9a389dbdfd24ae842e7722027f53d31d-p_e.jpg,
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""198 Calyer St #3d, Brooklyn, NY 11222"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":null},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""198 Calyer St #3D"",""addressLocality"":""Brooklyn"",""addressRegion"":""NY"",""postalCode"":""11222""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.728453,""longitude"":-73.951986},""url"":""https://www.zillow.com/homedetails/198-Calyer-St-3D-Brooklyn-NY-11222/2072658063_zpid/""}",https://www.zillow.com/homedetails/198-Calyer-St-3D-Brooklyn-NY-11222/2072658063_zpid/,"198 Calyer St #3D, Brooklyn, NY 11222",LISTING BY: NOOKLYN.COM LLC (914-489-8885),"$2,500/mo",2,bds,1,ba,--,sqft,Apartment for rent,1 day on Zillow,https://photos.zillowstatic.com/fp/facfe90789d881148125f112aedf1339-p_e.jpg,Save this home
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""555 Graham Ave #1s, Brooklyn, NY 11222"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":null},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""555 Graham Ave #1S"",""addressLocality"":""Brooklyn"",""addressRegion"":""NY"",""postalCode"":""11222""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.722066,""longitude"":-73.947505},""url"":""https://www.zillow.com/homedetails/555-Graham-Ave-1S-Brooklyn-NY-11222/2072658061_zpid/""}",https://www.zillow.com/homedetails/555-Graham-Ave-1S-Brooklyn-NY-11222/2072658061_zpid/,"555 Graham Ave #1S, Brooklyn, NY 11222",LISTING BY: NOOKLYN.COM LLC (702-358-8211),"$3,400/mo",2,bds,1.5,ba,--,sqft,Apartment for rent,1 day on Zillow,https://photos.zillowstatic.com/fp/0b5b89cbdfccd581f3fa00d973d1a85b-p_e.jpg,Save this home
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""30 Driggs Ave #3rr, Brooklyn, NY 11222"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":null},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""30 Driggs Ave #3RR"",""addressLocality"":""Brooklyn"",""addressRegion"":""NY"",""postalCode"":""11222""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.72368,""longitude"":-73.939931},""url"":""https://www.zillow.com/homedetails/30-Driggs-Ave-3RR-Brooklyn-NY-11222/2072706741_zpid/""}",https://www.zillow.com/homedetails/30-Driggs-Ave-3RR-Brooklyn-NY-11222/2072706741_zpid/,"30 Driggs Ave #3RR, Brooklyn, NY 11222",LISTING BY: AYM NYC LLC (646-992-7521),"$2,900/mo",2,bds,1,ba,--,sqft,Apartment for rent,Open: Fri. 8am-8:45pm,https://photos.zillowstatic.com/fp/cc683900978d57aff49b3cadc7a8f220-p_e.jpg,Save this home
,https://www.zillow.com/b/226-kingsland-ave-brooklyn-ny-5Z6vfc/,"226 Kingsland Ave, Brooklyn, NY",,"$1,799+",,1 bd,,,,,,Updated today,https://photos.zillowstatic.com/fp/4a2e3bc50a1da1f4d301d28fb6cf19a1-p_e.jpg,
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""149 Newel St #1g, Brooklyn, NY 11222"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""985""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""149 Newel St #1G"",""addressLocality"":""Brooklyn"",""addressRegion"":""NY"",""postalCode"":""11222""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.72733,""longitude"":-73.949112},""url"":""https://www.zillow.com/homedetails/149-Newel-St-1G-Brooklyn-NY-11222/2072710053_zpid/""}",https://www.zillow.com/homedetails/149-Newel-St-1G-Brooklyn-NY-11222/2072710053_zpid/,"149 Newel St #1G, Brooklyn, NY 11222",LISTING BY: DOUGLAS ELLIMAN (347-277-5695),"$3,100/mo",3,bds,1,ba,985,sqft,Apartment for rent,7 hours ago,https://photos.zillowstatic.com/fp/ff4e1279173fe0334475cae7e86bc692-p_e.jpg,Save this home
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""210 N Henry St #3, Brooklyn, NY 11222"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":null},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""210 N Henry St #3"",""addressLocality"":""Brooklyn"",""addressRegion"":""NY"",""postalCode"":""11222""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.726514,""longitude"":-73.943412},""url"":""https://www.zillow.com/homedetails/210-N-Henry-St-3-Brooklyn-NY-11222/2072710595_zpid/""}",https://www.zillow.com/homedetails/210-N-Henry-St-3-Brooklyn-NY-11222/2072710595_zpid/,"210 N Henry St #3, Brooklyn, NY 11222",LISTING BY: SIDEWALK REALTY LLC,"$2,500/mo",1,bd,1,ba,--,sqft,Apartment for rent,8 hours ago,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Save this home
