Latitude,Longitude,ListingPrice,BedroomCount,BathroomCount,RentSpaceSize,TimeOnMarket
40.722097,-73.945564,"$2,900/mo",1,1.0,650,Open: Fri. 4-6pm
40.734365,-73.958596,"$2,300/mo",--,1.0,750,1 day on Zillow
40.728453,-73.951986,"$2,500/mo",2,1.0,--,1 day on Zillow
40.722066,-73.947505,"$3,400/mo",2,1.5,--,1 day on Zillow
40.72368,-73.939931,"$2,900/mo",2,1.0,--,Open: Fri. 8am-8:45pm
40.72733,-73.949112,"$3,100/mo",3,1.0,985,7 hours ago
40.726514,-73.943412,"$2,500/mo",1,1.0,--,8 hours ago
40.732633,-73.957751,"$2,495/mo",2,1.0,--,8 hours ago
40.722848,-73.94447,"$2,500/mo",1,1.0,--,9 hours ago
40.722937,-73.943448,"$2,000/mo",1,1.0,750,11 hours ago
40.735263,-73.951674,"$2,200/mo",1,2.0,--,11 hours ago
40.725093,-73.94922,"$2,299/mo",1,1.0,700,13 hours ago
40.726939,-73.956158,"$3,395/mo",2,1.0,"1,000",14 hours ago
40.726828,-73.955255,"$2,789/mo",2,1.0,750,15 hours ago
40.727289,-73.956568,"$2,500/mo",1,1.0,"2,295",15 hours ago
40.73622,-73.953781,"$2,200/mo",2,1.0,700,Open: Sat. 10am-2pm
40.734788,-73.953728,"$3,625/mo",3,2.0,--,Open: Fri. 8am-7pm
40.722919,-73.948158,"$2,295/mo",1,1.0,--,1 day ago
40.729709,-73.956864,"$2,099/mo",2,1.0,--,1 day ago
40.725087,-73.953854,"$1,950/mo",1,1.0,525,1 day ago
40.736844,-73.954788,"$3,900/mo",4,2.0,--,Open: Fri. 8am-1:45pm
40.733856,-73.958544,"$2,500/mo",1,1.0,--,Open: Fri. 8am-8pm
40.734736,-73.953604,"$3,625/mo",3,2.0,--,1 day ago
40.735275,-73.958229,"$2,299/mo",2,1.0,700,1 day ago
40.730143,-73.952602,"$2,599/mo",2,1.0,900,1 day ago
40.725384,-73.947417,"$2,900/mo",3,2.0,"1,000",1 day ago
40.732989,-73.952888,"$2,200/mo",2,1.0,--,1 day ago
40.727069,-73.944079,"$3,500/mo",3,2.0,--,1 day ago
40.725914,-73.946733,"$2,131/mo",1,1.0,--,2 days ago
40.725914,-73.946733,"$2,131/mo",1,1.0,--,2 days ago
40.72592,-73.949541,"$1,999/mo",1,1.0,--,2 days ago
40.737176,-73.954258,"$2,799/mo",2,1.0,--,2 days ago
40.726802,-73.949795,"$2,250/mo",2,1.0,800,2 days ago
40.731938,-73.957659,"$1,800/mo",1,1.0,--,2 days ago
40.721591,-73.942432,"$2,600/mo",2,2.0,--,2 days ago
40.720771,-73.946736,"$2,050/mo",--,1.0,--,2 days ago
40.732913,-73.953696,"$2,400/mo",1,1.0,700,2 days ago
40.736467,-73.954184,"$1,950/mo",2,1.0,"1,100",3 days ago
40.737455,-73.955291,"$2,495/mo",2,1.0,"1,000",3 days ago
40.722979,-73.946779,"$2,200/mo",1,1.0,850,3 days ago
