list-card-addr,list-card-price,json_data,list-card-details,list-card-label 2,list-card-variable-text,list-card-link href 2,list-card-link src,json_data,list-card-extra-info,list-card-details 2,list-card-details 3,list-card-label 3,list-card-statusText,j
"150 Eagle St, Brooklyn, NY","$2,850+",1 bd,"$2,850+",2 bds,Updated today,https://www.zillow.com/b/150-eagle-st-brooklyn-ny-BtNKHj/,https://photos.zillowstatic.com/fp/af1f579c61c1dbdc2700e9759b4fec09-p_e.jpg,,,,,,,
"193 Freeman St #1E, Brooklyn, NY 11222","$3,625/mo",bds,3,ba,Open: Thu. 8:45am-7pm,https://www.zillow.com/homedetails/193-Freeman-St-1E-Brooklyn-NY-11222/2072752848_zpid/,https://photos.zillowstatic.com/fp/c0f7ad17a633bebcdfa3d7da2b09f131-p_e.jpg,"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""193 Freeman St #1e, Brooklyn, NY 11222"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":null},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""193 Freeman St #1E"",""addressLocality"":""Brooklyn"",""addressRegion"":""NY"",""postalCode"":""11222""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.734788,""longitude"":-73.953728},""url"":""https://www.zillow.com/homedetails/193-Freeman-St-1E-Brooklyn-NY-11222/2072752848_zpid/""}",LISTING BY: HSK GROUP INC (917-678-4970),2,--,sqft,#NAME?,Save this home
,,,,,,,,,,,,,,
"58 Newel St, Brooklyn, NY","$2,850+",1 bd,"$3,295 ",2 bds,Updated today,https://www.zillow.com/b/58-newel-st-brooklyn-ny-9WQp9y/,https://photos.zillowstatic.com/fp/cb319be1ceb3bf3f6043dddc46ab4b34-p_e.jpg,,,,,,,
"92 Eckford St #2H, Brooklyn, NY 11222","$2,295/mo",bd,1,ba,2 hours ago,https://www.zillow.com/homedetails/92-Eckford-St-2H-Brooklyn-NY-11222/2072754945_zpid/,https://photos.zillowstatic.com/fp/8d26ebe6f3ed215519fea4b87f762f3b-p_e.jpg,"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""92 Eckford St #2h, Brooklyn, NY 11222"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":null},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""92 Eckford St #2H"",""addressLocality"":""Brooklyn"",""addressRegion"":""NY"",""postalCode"":""11222""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.722919,""longitude"":-73.948158},""url"":""https://www.zillow.com/homedetails/92-Eckford-St-2H-Brooklyn-NY-11222/2072754945_zpid/""}",LISTING BY: TRIPLEMINT,1,--,sqft,#NAME?,Save this home
"181 Greenpoint Ave, Brooklyn, NY","$2,350+",1 bd,,,Updated today,https://www.zillow.com/b/181-greenpoint-ave-brooklyn-ny-3mpd/,https://photos.zillowstatic.com/fp/1571f9d4dbe0b44c25798ecf4fcde90c-p_e.jpg,,,,,,,
"77 Clay St, Brooklyn, NY","$3,900+",4 bds,,,Updated today,https://www.zillow.com/b/77-clay-st-brooklyn-ny-3mJP/,https://photos.zillowstatic.com/fp/72b6e3c567c00d1e5713106bb0a4768d-p_e.jpg,,,,,,,
"100 Greenpoint Ave APT 2L, Brooklyn, NY 11222","$2,099/mo",bds,2,ba,6 hours ago,https://www.zillow.com/homedetails/100-Greenpoint-Ave-APT-2L-Brooklyn-NY-11222/2072759688_zpid/,https://photos.zillowstatic.com/fp/c720926f951f4269ec4590fb78c6dd9f-p_e.jpg,"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""100 Greenpoint Ave Apt 2l, Brooklyn, NY 11222"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":null},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""100 Greenpoint Ave APT 2L"",""addressLocality"":""Brooklyn"",""addressRegion"":""NY"",""postalCode"":""11222""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.729709,""longitude"":-73.956864},""url"":""https://www.zillow.com/homedetails/100-Greenpoint-Ave-APT-2L-Brooklyn-NY-11222/2072759688_zpid/""}",LISTING BY: YUP REALTY LLC (831-585-0112),1,--,sqft,#NAME?,Save this home
"123 Guernsey St, Brooklyn, NY 11222","$1,950/mo",bd,1,ba,7 hours ago,https://www.zillow.com/homedetails/123-Guernsey-St-Brooklyn-NY-11222/2077948425_zpid/,https://photos.zillowstatic.com/fp/d658e5c86a69261f12961b56245cfac7-p_e.jpg,"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""123 Guernsey St, Brooklyn, NY 11222"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""525""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""123 Guernsey St"",""addressLocality"":""Brooklyn"",""addressRegion"":""NY"",""postalCode"":""11222""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.725087,""longitude"":-73.953854},""url"":""https://www.zillow.com/homedetails/123-Guernsey-St-Brooklyn-NY-11222/2077948425_zpid/""}",LISTING BY: HIGHLINE RESIDENTIAL,1,525,sqft,#NAME?,Save this home
"120 Huron St APT 3L, Brooklyn, NY 11222","$1,750/mo",bd,1,ba,7 hours ago,https://www.zillow.com/homedetails/120-Huron-St-APT-3L-Brooklyn-NY-11222/2072761426_zpid/,https://photos.zillowstatic.com/fp/7d966024a3654169db78e47b727ce47f-p_e.jpg,"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""120 Huron St Apt 3l, Brooklyn, NY 11222"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""750""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""120 Huron St APT 3L"",""addressLocality"":""Brooklyn"",""addressRegion"":""NY"",""postalCode"":""11222""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.732635,""longitude"":-73.956619},""url"":""https://www.zillow.com/homedetails/120-Huron-St-APT-3L-Brooklyn-NY-11222/2072761426_zpid/""}",LISTING BY: GREENPOINT PROPERTIES (347-244-4239),1,750,sqft,#NAME?,Save this home
"219 Kingsland Ave, Brooklyn, NY","$1,725+",1 bd,,,Updated yesterday,https://www.zillow.com/b/219-kingsland-ave-brooklyn-ny-3ntm/,https://photos.zillowstatic.com/fp/79687487042ff0fc9cd222c0c01e6432-p_e.jpg,,,,,,,
